Corpus	German	German	German	German	German	German	French	French	French	French	French	French	American English	American English	American English	American English	American English	American English
Painter	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian
1944	8.54403430545452e-08	2.7352592540148228e-08	2.078654464427692e-08	4.5668400109174656e-08	4.0904565068444754e-08	1.667921305832059e-08	7.042261478724348e-08	4.271086995188966e-08	1.0495570127285907e-09	1.7472891451169354e-07	6.780809019042116e-08	5.580011088111649e-09	5.5025207247792555e-08	4.609100859706164e-08	1.0070347635147771e-08	3.2457885775930406e-08	3.6154320426362574e-08	1.2870782312950674e-08
1945	1.1420405700489158e-07	4.173965782529519e-08	2.8711241479533508e-08	5.740869164177249e-08	4.8273499483489756e-08	1.932077850089594e-08	8.235870195351578e-08	4.637108976167172e-08	1.2048696960777404e-09	1.9094703316925787e-07	8.200658349214304e-08	5.7353237714607985e-09	6.249231456121964e-08	4.9379689670558946e-08	1.151859671136687e-08	4.020218418483117e-08	3.8218177575036605e-08	1.7073963988676966e-08
1946	1.4172465905610515e-07	4.8286653786533407e-08	3.816030110951171e-08	7.581885595543878e-08	5.814867977603301e-08	2.1884219262143948e-08	9.686780698205308e-08	5.069316217592197e-08	1.4853556480025937e-09	1.393665008159977e-07	1.2007650810172015e-07	2.5354093427917437e-09	6.926116569161422e-08	4.990925970917358e-08	1.2148204981648242e-08	4.4098927430370945e-08	4.162438216326336e-08	1.8390722468706955e-08
1947	1.505754758974425e-07	5.6850648760027004e-08	4.251400406321945e-08	9.147257757596045e-08	6.20445085784484e-08	2.1726987701039694e-08	1.0097386799705938e-07	5.4113596651258633e-08	4.068229245543112e-09	1.477554799781241e-07	1.6145581887323196e-07	8.156957522130272e-09	7.458040991130993e-08	5.0672886585191786e-08	1.3171714132097025e-08	4.640182435114834e-08	4.165297592554193e-08	1.9369339529110415e-08
1948	1.6196158623772915e-07	6.132706482324985e-08	4.40162745616947e-08	9.997447847354124e-08	6.486917707755018e-08	1.9655954578265015e-08	1.0716777865127369e-07	5.5617669707836674e-08	5.591286608311716e-09	1.4431615978440148e-07	1.6569506706381227e-07	9.220988290386295e-09	7.701537845556621e-08	4.9017343327152826e-08	1.4234668935638898e-08	5.810356792527013e-08	4.277681497910635e-08	1.9801472588605e-08
1949	1.4734659054787308e-07	6.671834031278325e-08	3.773236910222165e-08	9.83771139471758e-08	6.737362997658433e-08	1.8351169472907713e-08	1.0973351598814978e-07	4.98369761966647e-08	6.0332720406920865e-09	1.3712333465524092e-07	1.5729388433019915e-07	9.361693579076506e-09	7.984221740896049e-08	4.7414365513174876e-08	1.3533231805037564e-08	6.075703495866946e-08	4.135619694320017e-08	1.8500652819243768e-08
1950	1.2659656535772358e-07	6.90600140883037e-08	3.959013789816319e-08	9.187793586258002e-08	5.967079402020253e-08	1.480124086786613e-08	1.106069750075481e-07	4.4844440795697797e-08	7.0207325667378686e-09	1.349030652266135e-07	1.6915907201970575e-07	1.1118713251688308e-08	7.613370809979512e-08	3.769001466480404e-08	1.405827644772119e-08	6.590479933216947e-08	3.8839487562622055e-08	1.8385455951326028e-08
1951	1.2517302343845976e-07	6.796285794458917e-08	4.279212311481777e-08	9.339824152172177e-08	5.051195246202107e-08	1.5303939956571152e-08	1.212183166541893e-07	4.099796692612147e-08	7.517782206280442e-09	1.5779319539888093e-07	1.6151365958957546e-07	1.2701933631882006e-08	7.652909671053618e-08	3.495895991737338e-08	1.3613122946359063e-08	6.574596207136502e-08	4.05726494940544e-08	1.810480007183709e-08
1952	1.1738744630309026e-07	6.491051658079933e-08	4.1245914112713374e-08	9.611585533824446e-08	5.091008579784427e-08	1.819039699820938e-08	1.2866389604531442e-07	3.7833521712319195e-08	9.37367114087603e-09	1.63331380674338e-07	1.6035452280302058e-07	1.576454363875054e-08	7.432701819100527e-08	3.286672394559835e-08	1.3477650741476412e-08	6.17807686913758e-08	3.987480821722654e-08	1.5469723660796068e-08
1953	1.2833021451846044e-07	7.136040076310174e-08	4.224699168275947e-08	9.388883067832207e-08	4.7734724109968086e-08	2.215039225055599e-08	1.3369694227906491e-07	3.987062032909502e-08	1.4201282499166318e-08	1.9817090089548272e-07	1.3273184507056612e-07	1.9174724157673088e-08	7.499227803821538e-08	3.462342412774433e-08	1.4807162099625008e-08	6.247093001629115e-08	5.039581247550424e-08	1.7107424175679042e-08
1954	1.4807948797316124e-07	8.95937536224015e-08	4.798601084741806e-08	8.785121100426555e-08	5.285426927871738e-08	2.8668529899229204e-08	1.5957482548044156e-07	4.3427516059425993e-08	1.3385416394332391e-08	2.0409732266151487e-07	1.0606536702896716e-07	2.087363589911969e-08	7.907328937660298e-08	3.385423370210512e-08	1.8429615421057732e-08	6.224155565551623e-08	5.0543245017869206e-08	1.9026585894112358e-08
1955	1.566897007064329e-07	1.0895409831489036e-07	5.62358088984638e-08	9.022113494389877e-08	6.031593637244117e-08	3.176601762585765e-08	1.60090513036591e-07	4.689167175188556e-08	1.2807758282511778e-08	2.0870178474297063e-07	1.294067740583874e-07	2.4077574727649724e-08	9.304227331443014e-08	3.742714303557802e-08	2.1311116934644555e-08	5.801078119459037e-08	5.554829333017811e-08	1.9677156285321677e-08
1956	1.6832093458723258e-07	1.2985314766313293e-07	7.416428766353939e-08	1.0023486193436579e-07	6.738291042600914e-08	3.828134685436778e-08	1.7053700064804745e-07	7.081074596523454e-08	1.3936882505203942e-08	2.1585358313456838e-07	1.4333872806154041e-07	2.550797909403205e-08	9.792304008929672e-08	3.901986568775685e-08	2.2641088242331923e-08	5.752483949501246e-08	5.932976522769552e-08	2.1166695697770266e-08
1957	1.7458265639496468e-07	1.4476164368813572e-07	8.159536640001924e-08	1.1253481651302926e-07	8.12229557262916e-08	4.389904668349638e-08	1.8223593859342406e-07	8.059566271510579e-08	1.4034711805420232e-08	2.1765128061750666e-07	1.3939682170465468e-07	2.701136825322692e-08	1.04292995826784e-07	4.4671768252767056e-08	2.6040938167730994e-08	6.118437616870714e-08	6.421127857996517e-08	2.4717436859183247e-08
1958	1.8135133454203847e-07	1.5577506218278359e-07	8.491642766728091e-08	1.1250638465298834e-07	8.625404627575033e-08	4.713972974930888e-08	1.9029463752910183e-07	8.89791292498406e-08	1.5396576828289692e-08	2.0278355587303545e-07	1.518798361151615e-07	2.9070128970687392e-08	1.091302290016453e-07	4.675989225451834e-08	2.776981030313171e-08	6.419401010759884e-08	6.686394193877732e-08	2.641416863014001e-08
1959	1.8825220990947855e-07	1.706578430571426e-07	9.296983023432404e-08	1.1476659409481726e-07	9.020925233471644e-08	4.8828444221271636e-08	1.9531622683643945e-07	1.0076816607806904e-07	1.5660209928824996e-08	2.0579783495122682e-07	1.5278499461146565e-07	3.0379062998520115e-08	1.1472054808336907e-07	5.030247720583247e-08	3.0480227053431006e-08	6.730972188506711e-08	7.124745806663669e-08	2.8272517837990562e-08
1960	1.668191842441047e-07	1.8939258339401022e-07	9.733195760475155e-08	1.1513774822446976e-07	9.629616215534043e-08	4.9619542252798965e-08	1.9705111853340895e-07	1.133145524079282e-07	1.063609211815475e-08	1.545558490079202e-07	1.598031609262307e-07	3.077888677260887e-08	1.2400144910884592e-07	5.1529150724149986e-08	3.381988555872795e-08	7.078545127825464e-08	5.835041161361687e-08	2.937165133332087e-08
